FILE,DATE,FUND,BENCHMARK,SECURITY,FUND_AVG_WEIGHT,FUND_CONTRIB,BENCH_AVG_WEIGHT,BENCH_CONTRIB,SELECT. EFFECT,ALLOC. EFFECT,TOTAL EFFECT,ROW_TYPE
PAs  Presentación Guille 31-01-2026.xlsx,2026-01-31,GLORY,GDUEEGFL Index,PINFRA* MM Equity,0.0,0.0,0.0035561486213942445,0.00022489200029775995,0.0,-0.00022489200029775995,-0.00022489200029775995,company
PAs  Presentación Guille 31-01-2026.xlsx,2026-01-31,GLORY,GDUEEGFL Index,GCARSOA1 MM Equity,0.0,0.0,0.004808680496228537,0.00022573283988230246,0.0,-0.00022573283988230246,-0.00022573283988230246,company
PAs  Presentación Guille 31-01-2026.xlsx,2026-01-31,GLORY,GDUEEGFL Index,OMAB MM Equity,0.0022726782050036427,0.00019403922254427515,0.0049614908180820455,0.0004275820376877766,-1.8205328265321968e-06,-0.00023172228231696932,-0.00023354281514350144,company
PAs  Presentación Guille 31-01-2026.xlsx,2026-01-31,GLORY,GDUEEGFL Index,FUNO11 MM Equity,0.0,0.0,0.005577654086743478,0.00025121910455146824,0.0,-0.00025121910455146824,-0.00025121910455146824,company
PAs  Presentación Guille 31-01-2026.xlsx,2026-01-31,GLORY,GDUEEGFL Index,KLBN11 BZ Equity,0.0,0.0,0.003598074183895963,0.00025871159193852333,0.0,-0.00025871159193852333,-0.00025871159193852333,company
PAs  Presentación Guille 31-01-2026.xlsx,2026-01-31,GLORY,GDUEEGFL Index,BBAS3 BZ Equity,0.007792468291128059,0.0016093873381775726,0.009022618558113274,0.0018765870196100485,-1.1344465086388826e-05,-0.000255855216346087,-0.00026719968143247585,company
PAs  Presentación Guille 31-01-2026.xlsx,2026-01-31,GLORY,GDUEEGFL Index,CXSE3 BZ Equity,0.0,0.0,0.0023114937340631635,0.0002713756804206027,0.0,-0.0002713756804206027,-0.0002713756804206027,company
PAs  Presentación Guille 31-01-2026.xlsx,2026-01-31,GLORY,GDUEEGFL Index,CENCOSUD CI Equity,0.0,0.0,0.005311374930552799,0.0002941343150128586,0.0,-0.0002941343150128586,-0.0002941343150128586,company
PAs  Presentación Guille 31-01-2026.xlsx,2026-01-31,GLORY,GDUEEGFL Index,VULC3 BZ Equity,0.004850173251202508,-0.00031853380446473676,0.0,0.0,0.0,-0.00031853380446473676,-0.00031853380446473676,company
PAs  Presentación Guille 31-01-2026.xlsx,2026-01-31,GLORY,GDUEEGFL Index,CMIG4 BZ Equity,0.0,0.0,0.004443005046277771,0.00034146284329461866,0.0,-0.00034146284329461866,-0.00034146284329461866,company
PAs  Presentación Guille 31-01-2026.xlsx,2026-01-31,GLORY,GDUEEGFL Index,AC* MM Equity,0.0,0.0,0.007141205458420653,0.000355387253754186,0.0,-0.000355387253754186,-0.000355387253754186,company
PAs  Presentación Guille 31-01-2026.xlsx,2026-01-31,GLORY,GDUEEGFL Index,BIMBOA MM Equity,0.0,0.0,0.0055780462367593904,0.00036756569710874506,0.0,-0.00036756569710874506,-0.00036756569710874506,company
PAs  Presentación Guille 31-01-2026.xlsx,2026-01-31,GLORY,GDUEEGFL Index,CPLE3 BZ Equity,0.0,0.0,0.0032410430370600003,0.0003968741467807,0.0,-0.0003968741467807,-0.0003968741467807,company
PAs  Presentación Guille 31-01-2026.xlsx,2026-01-31,GLORY,GDUEEGFL Index,STNE US Equity,0.0,0.0,0.004204959565054201,0.00040268699008039026,0.0,-0.00040268699008039026,-0.00040268699008039026,company
PAs  Presentación Guille 31-01-2026.xlsx,2026-01-31,GLORY,GDUEEGFL Index,COPEC CI Equity,0.0,0.0,0.004104563640072263,0.0004168767097827823,0.0,-0.0004168767097827823,-0.0004168767097827823,company
PAs  Presentación Guille 31-01-2026.xlsx,2026-01-31,GLORY,GDUEEGFL Index,SPORTS MM Equity,0.004234137640604752,-0.0004470122367660816,0.0,0.0,0.0,-0.0004470122367660816,-0.0004470122367660816,company
PAs  Presentación Guille 31-01-2026.xlsx,2026-01-31,GLORY,GDUEEGFL Index,ENEV3 BZ Equity,0.0,0.0,0.00471178698998945,0.00045499707977651483,0.0,-0.00045499707977651483,-0.00045499707977651483,company
